dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
0.018042,0,10.10.1.198,10.10.1.197,356825,441809564,0.018042,0,0.018042,588,356237,606.8452380952381,751376.8095238095,0.0002112836051375,584,TCP,9090,0,441809564,0.0,195902699.92240328,195902699.92240328,
0.00042,0,172.253.118.95,10.10.1.198,249597,291924337,0.00042,0,0.00042,62,249535,4025.758064516129,4708457.048387097,0.0001481558540721,62,TCP,443,0,291924337,0.0,5560463561.904761,5560463561.904761,
0.00025,0,172.253.118.95,10.10.1.198,403438,471295246,0.00025,0,0.00025,85,403353,4746.329411764706,5544649.9529411765,0.0002394728263793,85,TCP,443,0,471295246,0.0,15081447872.0,15081447872.0,
0.001238,0,10.10.1.197,10.10.1.198,344887,429612883,0.001238,0,0.001238,155,344732,2225.077419354838,2771696.019354839,0.0002042152990007,152,TCP,57902,0,429612883,0.0,2776173718.901453,2776173718.901453,
0.000738,0,172.253.118.95,10.10.1.198,36348,43469398,0.000738,0,0.000738,26,36322,1398.0,1671899.923076923,2.15754620952e-05,26,TCP,443,0,43469398,0.0,471212986.4498645,471212986.4498645,
0.000313,0,74.125.24.95,10.10.1.198,265376,330647597,0.000313,0,0.000313,45,265331,5897.2444444444445,7347724.377777778,0.0001572316466362,45,TCP,443,0,330647597,0.0,8451056792.332269,8451056792.332269,
9.3e-05,0,172.217.194.95,10.10.1.198,163212,203355519,9.3e-05,0,9.3e-05,36,163176,4533.666666666667,5648764.416666667,9.66612939083e-05,36,TCP,443,0,203355519,0.0,17492947870.96774,17492947870.96774,
1.3e-05,0,10.10.1.198,172.217.194.95,142264,178209117,1.3e-05,0,1.3e-05,36,142228,3951.777777777778,4950253.25,8.42549713426e-05,36,TCP,38730,0,178209117,0.0,109667148923.07692,109667148923.07692,
0.071675,0,45.84.217.99,10.10.1.198,419813,433724057,0.071675,0,0.071675,4750,415063,88.38168421052632,91310.32778947368,0.0002488943004876,4592,TCP,35904,0,433724057,0.0,48410079.60934775,48410079.60934775,
1.3e-05,0,10.10.11.7,142.251.175.95,243155,392717079,1.3e-05,0,1.3e-05,26,243129,9352.115384615385,15104503.038461538,0.0001429101824721,26,TCP,35964,0,392717079,0.0,241672048615.3846,241672048615.3846,
1.2e-05,0,10.10.1.198,172.217.194.95,112692,139247212,1.2e-05,0,1.2e-05,32,112660,3521.625,4351475.375,6.67445619061e-05,32,TCP,32868,0,139247212,0.0,92831474666.66666,92831474666.66666,
0.0,0,142.251.12.95,10.10.1.198,367885,436048908,0.0,0,0.0,54,367831,6812.685185185185,8074979.777777778,0.0002183694181176,54,TCP,443,0,436048908,0.0,0.0,0.0,
0.0,0,64.233.170.95,10.10.11.7,43492,55791899,0.0,0,0.0,18,43474,2416.222222222222,3099549.9444444445,2.55694923227e-05,18,TCP,443,0,55791899,0.0,0.0,0.0,
0.000106,0,172.217.194.95,10.10.1.198,238519,314346847,0.000106,0,0.000106,116,238403,2056.198275862069,2709886.6120689656,0.000141435119445,96,TCP,443,0,314346847,0.0,23724290339.62264,23724290339.62264,
0.000693,0,172.253.118.95,10.10.1.198,326849,387534419,0.000693,0,0.000693,50,326799,6536.98,7750688.38,0.0001940111589097,50,TCP,443,0,387534419,0.0,4473701806.637807,4473701806.637807,
0.000435,0,74.125.24.95,10.10.1.198,217462,263791141,0.000435,0,0.000435,63,217399,3451.777777777778,4187160.968253968,0.0001288168946154,63,TCP,443,0,263791141,0.0,4851331328.735632,4851331328.735632,
0.307493,0,74.125.24.95,10.10.1.198,370899,377493175,0.307493,0,0.307493,6079,364820,61.01316005922027,62097.90672808028,0.0002197131200098,6042,TCP,443,0,377493175,0.0,9821184.222079853,9821184.222079853,
1.1e-05,0,10.10.1.198,142.251.10.95,376859,451570814,1.1e-05,0,1.1e-05,59,376800,6387.440677966101,7653742.610169492,0.0002233066631306,59,TCP,40964,0,451570814,0.0,328415137454.5454,328415137454.5454,
1.6e-05,0,10.10.1.198,172.217.194.95,337694,404760771,1.6e-05,0,1.6e-05,54,337640,6253.592592592592,7495569.833333333,0.0002002225469209,54,TCP,43144,0,404760771,0.0,202380385500.0,202380385500.0,
0.0,0,64.233.170.95,10.10.1.198,209046,261671843,0.0,0,0.0,30,209016,6968.2,8722394.766666668,0.0001237745454786,30,TCP,443,0,261671843,0.0,0.0,0.0,
2.7e-05,0,10.10.1.198,185.254.37.15,377044,387777178,2.7e-05,0,2.7e-05,6188,370856,60.93148028442146,62665.99515190692,0.0002232270433618,6133,TCP,23,0,387777178,0.0,114896941629.62962,114896941629.62962,
1.7e-05,0,10.10.1.198,172.253.118.95,269708,315827710,1.7e-05,0,1.7e-05,64,269644,4214.1875,4934807.96875,0.0001600933461252,64,TCP,38416,0,315827710,0.0,148624804705.88235,148624804705.88235,
1.5e-05,0,10.10.1.198,142.251.12.95,209907,262834994,1.5e-05,0,1.5e-05,31,209876,6771.193548387097,8478548.193548387,0.0001242906944335,31,TCP,40228,0,262834994,0.0,140178663466.66666,140178663466.66666,
2.8e-05,0,10.10.1.198,43.142.23.15,421520,442183578,2.8e-05,0,2.8e-05,6510,415010,64.74961597542243,67923.74470046083,0.0002498689784019,6300,TCP,22,0,442183578,0.0,126338165142.85716,126338165142.85716,
0.000133,0,10.10.1.198,10.0.0.222,351242,360527735,0.000133,0,0.000133,6725,344517,52.2292936802974,53610.07211895911,0.0002080065501908,6695,TCP,2048,0,360527735,0.0,21685878796.99248,21685878796.99248,
0.000276,0,142.251.12.95,10.10.1.198,319110,378659522,0.000276,0,0.000276,48,319062,6648.125,7888740.041666667,0.0001894175241643,48,TCP,443,0,378659522,0.0,10975638318.84058,10975638318.84058,
9e-06,0,10.10.11.7,142.251.175.95,106401,176652209,9e-06,0,9e-06,24,106377,4433.375,7360508.708333333,6.25353658735e-05,24,TCP,35964,0,176652209,0.0,157024185777.77777,157024185777.77777,
9e-05,0,74.125.200.95,10.10.1.198,125768,153691682,9e-05,0,9e-05,35,125733,3593.3714285714286,4391190.914285715,7.44815128224e-05,35,TCP,443,0,153691682,0.0,13661482844.444445,13661482844.444445,
0.000599,0,10.10.1.197,10.10.1.198,315001,331325475,0.000599,0,0.000599,4781,310220,65.88600711148295,69300.45492574775,0.0001865454638411,4765,TCP,5432,0,331325475,0.0,4425048080.133556,4425048080.133556,
0.000135,0,142.251.12.95,10.10.1.198,26568,31116427,0.000135,0,0.000135,26,26542,1021.8461538461538,1196785.6538461538,1.57702521878e-05,26,TCP,443,0,31116427,0.0,1843936414.8148148,1843936414.8148148,
0.000542,0,64.233.170.95,10.10.1.198,53520,66817761,0.000542,0,0.000542,20,53500,2676.0,3340888.05,3.1688785746e-05,20,TCP,443,0,66817761,0.0,986240014.7601476,986240014.7601476,
2.3e-05,0,10.10.1.198,172.253.118.95,301381,355055607,2.3e-05,0,2.3e-05,49,301332,6150.632653061224,7246032.795918368,0.000178893875304,48,TCP,38416,0,355055607,0.0,123497602434.7826,123497602434.7826,
1.2e-05,0,10.10.1.198,74.125.24.95,125428,152111236,1.2e-05,0,1.2e-05,50,125378,2508.56,3042224.72,7.42991687418e-05,50,TCP,34204,0,152111236,0.0,101407490666.66666,101407490666.66666,
1.1e-05,0,10.10.1.198,74.125.24.95,274529,323954220,1.1e-05,0,1.1e-05,72,274457,3812.902777777778,4499364.166666667,0.0001626463353765,72,TCP,41876,0,323954220,0.0,235603069090.9091,235603069090.9091,
2.3e-05,0,10.10.1.198,117.28.92.218,347509,384523190,2.3e-05,0,2.3e-05,1532,345977,226.8335509138381,250994.24934725848,0.0002060300904394,1514,TCP,22,0,384523190,0.0,133747196521.73912,133747196521.73912,
4.1e-05,0,74.125.24.95,10.10.1.198,376573,442947335,4.1e-05,0,4.1e-05,63,376510,5977.349206349207,7030910.079365079,0.0002230915146661,63,TCP,443,0,442947335,0.0,86428748292.6829,86428748292.6829,
1.7e-05,0,10.10.1.198,102.128.78.140,242984,262942030,1.7e-05,0,1.7e-05,3586,239398,67.7590630228667,73324.60401561629,0.0001440890075106,3559,TCP,22,0,262942030,0.0,123737425882.35294,123737425882.35294,
0.00067,0,142.251.12.95,10.10.1.198,84238,99339621,0.00067,0,0.00067,32,84206,2632.4375,3104363.15625,5.00020397273e-05,32,TCP,443,0,99339621,0.0,1186144728.358209,1186144728.358209,
1e-05,0,10.10.1.198,74.125.68.95,264800,319655740,1e-05,0,1e-05,38,264762,6968.421052631579,8411993.157894736,0.0001568101298027,38,TCP,42516,0,319655740,0.0,255724592000.0,255724592000.0,
8e-06,0,10.10.11.7,172.217.194.95,42156,51959286,8e-06,0,8e-06,6,42150,7026.0,8659881.0,2.478782036e-05,6,TCP,37546,0,51959286,0.0,51959286000.0,51959286000.0,
0.019442,0,10.10.1.198,10.10.1.197,419067,484168274,0.019442,0,0.019442,3811,415256,109.96247704014694,127044.94200997114,0.0002481224653131,3780,TCP,9090,0,484168274,0.0,199225706.820286,199225706.820286,
9e-06,0,10.10.1.198,74.125.130.95,32464,38471776,9e-06,0,9e-06,26,32438,1248.6153846153843,1479683.6923076925,1.92285738624e-05,26,TCP,36626,0,38471776,0.0,34197134222.222225,34197134222.222225,
0.000189,0,74.125.24.95,10.10.1.198,109939,140117334,0.000189,0,0.000189,24,109915,4580.791666666667,5838222.25,6.51273534138e-05,24,TCP,443,0,140117334,0.0,5930892444.444445,5930892444.444445,
6e-05,0,142.251.12.95,10.10.1.198,17182,20503347,6e-05,0,6e-05,36,17146,477.27777777777777,569537.4166666666,1.01989049166e-05,36,TCP,443,0,20503347,0.0,2733779600.0,2733779600.0,
0.374467,0,180.101.88.246,10.10.1.198,235667,276122496,0.374467,0,0.374467,1137,234530,207.27088830255056,242851.7994722955,0.0001395647070121,1134,TCP,18252,0,276122496,0.0,5898997.690050125,5898997.690050125,
4.4e-05,0,172.253.118.95,10.10.1.198,10114,11702548,4.4e-05,0,4.4e-05,20,10094,505.7,585127.4,6.0034719464e-06,20,TCP,443,0,11702548,0.0,2127736000.0,2127736000.0,
1.2e-05,0,10.10.1.198,142.251.12.95,222517,258138828,1.2e-05,0,1.2e-05,78,222439,2852.782051282052,3309472.153846154,0.0001320818057177,77,TCP,50422,0,258138828,0.0,172092552000.0,172092552000.0,
3.1e-05,0,127.0.0.1,127.0.0.1,388970,470732870,3.1e-05,0,3.1e-05,1962,387008,198.25178389398573,239925.01019367992,0.0002303161927751,1947,TCP,41410,0,470732870,0.0,121479450322.58064,121479450322.58064,
4.7e-05,0,172.217.194.95,10.10.1.198,58928,69030595,4.7e-05,0,4.7e-05,22,58906,2678.5454545454545,3137754.3181818184,3.49390726521e-05,22,TCP,443,0,69030595,0.0,11749888510.638296,11749888510.638296,
0.003097,0,142.251.175.95,10.10.11.7,147289,241271078,0.003097,0,0.003097,24,147265,6137.041666666667,10052961.583333334,8.65665868204e-05,24,TCP,443,0,241271078,0.0,623238173.7164998,623238173.7164998,
0.0,0,172.217.194.95,10.10.11.7,205982,261162524,0.0,0,0.0,12,205970,17165.166666666668,21763543.666666668,0.0001211178630958,12,TCP,443,0,261162524,0.0,0.0,0.0,
0.0,0,142.250.4.95,10.10.1.198,268881,336485799,0.0,0,0.0,54,268827,4979.277777777777,6231218.5,0.0001592512682121,54,TCP,443,0,336485799,0.0,0.0,0.0,
0.000171,0,74.125.24.95,10.10.1.198,362661,451888545,0.000171,0,0.000171,47,362614,7716.191489361702,9614649.89361702,0.0002148716724086,47,TCP,443,0,451888545,0.0,21140984561.403507,21140984561.403507,
1e-05,0,10.10.1.198,10.10.1.197,352361,258115560,1e-05,0,1e-05,8716,343645,40.42691601652134,29613.992657182192,0.0002088588482927,8591,TCP,50802,0,258115560,0.0,206492448000.0,206492448000.0,
1.7e-05,0,10.10.1.198,74.125.130.95,169171,206614946,1.7e-05,0,1.7e-05,84,169087,2013.940476190476,2459701.738095238,0.0001002623197556,84,TCP,36000,0,206614946,0.0,97230562823.5294,97230562823.5294,
0.010152,0,142.251.12.95,10.10.11.7,29610,44649094,0.010152,0,0.010152,180,29430,164.5,248050.52222222224,1.74089721374e-05,180,TCP,443,0,44649094,0.0,35184471.23719464,35184471.23719464,
0.0,0,74.125.24.95,10.10.1.198,378113,457664397,0.0,0,0.0,83,378030,4555.578313253012,5514028.879518072,0.0002239809281538,83,TCP,443,0,457664397,0.0,0.0,0.0,
1.5e-05,0,10.10.1.198,172.253.118.95,300643,352015023,1.5e-05,0,1.5e-05,68,300575,4421.220588235294,5176691.514705882,0.0001784557501735,68,TCP,38416,0,352015023,0.0,187741345600.0,187741345600.0,
0.0,0,142.251.12.95,10.10.1.198,321947,377295349,0.0,0,0.0,42,321905,7665.4047619047615,8983222.595238095,0.0001911014914884,42,TCP,443,0,377295349,0.0,0.0,0.0,
3.1e-05,0,142.251.12.95,10.10.1.198,235331,279801774,3.1e-05,0,3.1e-05,42,235289,5603.119047619048,6661947.0,0.000139687902624,42,TCP,443,0,279801774,0.0,72206909419.35484,72206909419.35484,
0.000118,0,10.10.1.198,142.251.12.95,357333,417477984,0.000118,0,0.000118,88,357245,4060.602272727273,4744068.0,0.0002121059793914,86,TCP,50422,0,417477984,0.0,28303592135.59322,28303592135.59322,
1.4e-05,0,10.10.1.198,142.251.10.95,141284,168601141,1.4e-05,0,1.4e-05,43,141241,3285.6744186046512,3920956.767441861,8.37174128612e-05,43,TCP,40964,0,168601141,0.0,96343509142.85712,96343509142.85712,
1.1e-05,0,10.10.1.198,74.125.130.95,315534,399962325,1.1e-05,0,1.1e-05,58,315476,5440.241379310345,6895902.155172414,0.0001870645169922,58,TCP,48432,0,399962325,0.0,290881690909.0909,290881690909.0909,
1.1e-05,0,10.10.1.198,74.125.24.95,222876,270104698,1.1e-05,0,1.1e-05,63,222813,3537.714285714286,4287376.158730159,0.0001320239588898,63,TCP,34204,0,270104698,0.0,196439780363.6364,196439780363.6364,
0.000629,0,64.233.170.95,10.10.1.198,224964,281569427,0.000629,0,0.000629,30,224934,7498.8,9385647.566666666,0.0001331994716128,30,TCP,443,0,281569427,0.0,3581169182.829889,3581169182.829889,
9.6e-05,0,172.253.118.95,10.10.1.198,376735,443683299,9.6e-05,0,9.6e-05,68,376667,5540.220588235294,6524754.397058823,0.0002236224810278,68,TCP,443,0,443683299,0.0,36973608250.0,36973608250.0,
0.001161,0,172.253.118.95,10.10.1.198,310281,376781997,0.001161,0,0.001161,80,310201,3878.5125,4709774.9625,0.0001838749178684,80,TCP,443,0,376781997,0.0,2596258377.2609816,2596258377.2609816,
2.1e-05,0,10.10.1.198,172.253.118.95,36427,42031312,2.1e-05,0,2.1e-05,30,36397,1214.2333333333331,1401043.7333333334,2.16223522912e-05,30,TCP,38416,0,42031312,0.0,16011928380.95238,16011928380.95238,
1.8e-05,0,10.10.1.198,74.125.200.95,52075,64301243,1.8e-05,0,1.8e-05,25,52050,2083.0,2572049.72,3.08395208031e-05,25,TCP,43866,0,64301243,0.0,28578330222.222225,28578330222.222225,
1.3e-05,0,10.10.1.198,142.250.4.95,398155,487708543,1.3e-05,0,1.3e-05,110,398045,3619.590909090909,4433714.027272727,0.0002359739053773,110,TCP,34520,0,487708543,0.0,300128334153.8461,300128334153.8461,
2.9e-05,0,10.10.1.198,104.152.52.15,151220,173462494,2.9e-05,0,2.9e-05,884,150336,171.0633484162896,196224.5407239819,8.96368971035e-05,881,TCP,8080,0,173462494,0.0,47851722482.75862,47851722482.75862,
0.000995,0,172.253.118.95,10.10.1.198,365215,427127423,0.000995,0,0.000995,76,365139,4805.460526315789,5620097.671052632,0.0002167844110666,76,TCP,443,0,427127423,0.0,3434190335.678392,3434190335.678392,
1.9e-05,0,10.10.1.198,172.217.194.95,273979,362280358,1.9e-05,0,1.9e-05,118,273861,2321.85593220339,3070172.525423729,0.000162461910032,98,TCP,57714,0,362280358,0.0,152539098105.26315,152539098105.26315,
1.1e-05,0,10.10.1.198,172.253.118.95,41829,50176267,1.1e-05,0,1.1e-05,68,41761,615.1323529411765,737886.2794117647,2.47881902237e-05,68,TCP,37200,0,50176267,0.0,36491830545.45455,36491830545.45455,
0.0,0,74.125.68.95,10.10.1.198,115484,135986402,0.0,0,0.0,26,115458,4441.692307692308,5230246.230769231,6.84682629388e-05,26,TCP,443,0,135986402,0.0,0.0,0.0,
0.00239,0,142.251.12.95,10.10.1.198,322412,382767597,0.00239,0,0.00239,46,322366,7008.95652173913,8321034.717391305,0.0001913774857402,46,TCP,443,0,382767597,0.0,1281230450.209205,1281230450.209205,
0.000675,0,172.217.194.95,10.10.1.198,125826,151268497,0.000675,0,0.000675,30,125796,4194.2,5042283.233333333,7.46036459285e-05,30,TCP,443,0,151268497,0.0,1792811816.296296,1792811816.296296,
1.4e-05,0,10.10.1.198,74.125.24.95,94967,114819635,1.4e-05,0,1.4e-05,53,94914,1791.830188679245,2166408.2075471696,5.62608925735e-05,53,TCP,46324,0,114819635,0.0,65611220000.0,65611220000.0,
5.8e-05,0,10.10.1.197,10.10.1.198,302039,243159525,5.8e-05,0,5.8e-05,6280,295759,48.095382165605095,38719.66958598726,0.0001790317505903,6223,TCP,5432,0,243159525,0.0,33539244827.58621,33539244827.58621,
0.000929,0,142.251.12.95,10.10.1.198,311757,365379354,0.000929,0,0.000929,42,311715,7422.785714285715,8699508.42857143,0.0001850529056527,42,TCP,443,0,365379354,0.0,3146431466.0925727,3146431466.0925727,
0.0,0,172.253.118.95,10.10.1.198,58101,67373809,0.0,0,0.0,32,58069,1815.65625,2105431.53125,3.44876131211e-05,32,TCP,443,0,67373809,0.0,0.0,0.0,
1.1e-05,0,10.10.1.198,172.217.194.95,289307,384017494,1.1e-05,0,1.1e-05,120,289187,2410.891666666667,3200145.783333333,0.0001715509862615,100,TCP,57714,0,384017494,0.0,279285450181.8182,279285450181.8182,
1.4e-05,0,10.10.1.198,172.217.194.95,366356,439018563,1.4e-05,0,1.4e-05,58,366298,6316.482758620689,7569285.568965517,0.0002172165653933,58,TCP,43144,0,439018563,0.0,250867750285.7143,250867750285.7143,
0.000782,0,142.251.12.95,10.10.1.198,308850,361916323,0.000782,0,0.000782,42,308808,7353.571428571428,8617055.30952381,0.0001833273669762,42,TCP,443,0,361916323,0.0,3702468777.493607,3702468777.493607,
0.001909,0,142.251.12.95,10.10.1.198,52711,64660252,0.001909,0,0.001909,26,52685,2027.3461538461536,2486932.769230769,3.12129775539e-05,26,TCP,443,0,64660252,0.0,270970149.816658,270970149.816658,
1.1e-05,0,10.10.11.7,172.217.194.95,178445,225197671,1.1e-05,0,1.1e-05,8,178437,22305.625,28149708.875,0.0001049260478687,8,TCP,37546,0,225197671,0.0,163780124363.63635,163780124363.63635,
0.002437,0,172.253.118.95,10.10.1.198,412909,486866368,0.002437,0,0.002437,74,412835,5579.851351351352,6579275.243243244,0.0002450946532079,74,TCP,443,0,486866368,0.0,1598248233.0734508,1598248233.0734508,
0.0,0,142.251.12.95,10.10.1.198,9500,11487037,0.0,0,0.0,28,9472,339.2857142857143,410251.3214285714,5.6390174988e-06,28,TCP,443,0,11487037,0.0,0.0,0.0,
9.6e-05,0,74.125.68.95,10.10.1.198,129734,156262805,9.6e-05,0,9.6e-05,44,129690,2948.5,3551427.386363636,7.69325780283e-05,44,TCP,443,0,156262805,0.0,13021900416.666666,13021900416.666666,
1.5e-05,0,10.10.1.198,172.253.118.95,43211,49934977,1.5e-05,0,1.5e-05,30,43181,1440.3666666666666,1664499.2333333334,2.56492015099e-05,30,TCP,38416,0,49934977,0.0,26631987733.33333,26631987733.33333,
9e-06,0,10.10.1.198,74.125.24.95,389556,483923982,9e-06,0,9e-06,49,389507,7950.122448979592,9875999.63265306,0.0002308065897842,49,TCP,33960,0,483923982,0.0,430154650666.6666,430154650666.6666,
1.1e-05,0,10.10.1.198,142.251.12.95,9528,11046304,1.1e-05,0,1.1e-05,20,9508,476.4,552315.2,5.6420339899e-06,20,TCP,56224,0,11046304,0.0,8033675636.363635,8033675636.363635,
0.421711,0,127.0.0.1,127.0.0.1,304037,360749879,0.421711,0,0.421711,2292,301745,132.65139616055848,157395.23516579406,0.0001800631708138,2282,TCP,41410,0,360749879,0.0,6843546.959884849,6843546.959884849,
0.002422,0,74.125.24.95,10.10.1.198,12776,14986189,0.002422,0,0.002422,6,12770,2129.333333333333,2497698.1666666665,7.5684432743e-06,6,TCP,443,0,14986189,0.0,49500211.39554088,49500211.39554088,
0.001729,0,142.251.12.95,10.10.1.198,161956,186468148,0.001729,0,0.001729,74,161882,2188.5945945945946,2519839.8378378376,9.61339639428e-05,73,TCP,443,0,186468148,0.0,862779169.4621168,862779169.4621168,
0.000202,0,172.253.118.95,10.10.1.198,238344,281430616,0.000202,0,0.000202,48,238296,4965.5,5863137.833333333,0.00014147632922,48,TCP,443,0,281430616,0.0,11145766970.297028,11145766970.297028,
5.9e-05,0,127.0.0.1,127.0.0.1,246457,284234619,5.9e-05,0,5.9e-05,1598,244859,154.22841051314143,177868.9730913642,0.0001459544719775,1594,TCP,9090,0,284234619,0.0,38540287322.0339,38540287322.0339,
9.4e-05,0,142.251.12.95,10.10.1.198,147339,169926217,9.4e-05,0,9.4e-05,62,147277,2376.435483870968,2740745.435483871,8.74575945456e-05,61,TCP,443,0,169926217,0.0,14461805702.12766,14461805702.12766,
1e-06,0,142.251.10.95,10.10.1.198,228243,272129190,1e-06,0,1e-06,47,228196,4856.234042553191,5789982.765957447,0.0001352447060177,47,TCP,443,0,272129190,0.0,2177033520000.0,2177033520000.0,
3e-05,0,10.10.1.198,114.132.187.183,368953,373543258,3e-05,0,3e-05,2914,366039,126.61393273850378,128189.17570350034,0.000218675334726,2906,TCP,22,0,373543258,0.0,99611535466.66666,99611535466.66666,
1.2e-05,0,10.10.1.198,74.125.68.95,94587,114055303,1.2e-05,0,1.2e-05,26,94561,3637.9615384615386,4386742.423076923,5.60128415221e-05,26,TCP,42516,0,114055303,0.0,76036868666.66666,76036868666.66666,
0.0,0,172.253.118.95,10.10.1.198,268200,314527755,0.0,0,0.0,47,268153,5706.382978723404,6692079.893617021,0.0001591982829407,46,TCP,443,0,314527755,0.0,0.0,0.0,
0.0012,0,74.125.24.95,10.10.1.198,194605,229565955,0.0012,0,0.0012,55,194550,3538.2727272727275,4173926.454545455,0.0001152890032319,55,TCP,443,0,229565955,0.0,1530439700.0,1530439700.0,
0.000698,0,142.251.12.95,10.10.1.198,376222,441528095,0.000698,0,0.000698,48,376174,7837.958333333333,9198501.979166666,0.0002233180749939,48,TCP,443,0,441528095,0.0,5060493925.501432,5060493925.501432,
1.2e-05,0,10.10.1.198,142.251.12.95,180206,213286797,1.2e-05,0,1.2e-05,38,180168,4742.263157894737,5612810.447368421,0.0001069668002253,38,TCP,50422,0,213286797,0.0,142191198000.0,142191198000.0,
0.002768,0,127.0.0.1,127.0.0.1,453300,481390312,0.002768,0,0.002768,5582,447718,81.20745252597635,86239.75492654962,0.0002684736880941,5541,TCP,9090,0,481390312,0.0,1391301479.768786,1391301479.768786,
0.000792,0,74.125.24.95,10.10.1.198,362277,426478789,0.000792,0,0.000792,63,362214,5750.428571428572,6769504.587301588,0.0002146221978595,63,TCP,443,0,426478789,0.0,4307866555.555556,4307866555.555556,
0.001934,0,74.125.68.95,10.10.1.198,171401,206198079,0.001934,0,0.001934,30,171371,5713.366666666667,6873269.3,0.0001015008069572,30,TCP,443,0,206198079,0.0,852939313.3402275,852939313.3402275,
